FL_DATE,MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,WEATHER_DELAY,NAS_DELAY,CARRIER_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DELAYED
9/8/2023 12:00:00 AM,9,5,B6,1252,RSW,HPN,166.0,153.0,0.0,,0.0,0.0,1.0,0.0,152.0,True
3/27/2023 12:00:00 AM,3,1,UA,739,PHL,ORD,5.0,16.0,0.0,,0.0,16.0,0.0,0.0,0.0,True
9/15/2023 12:00:00 AM,9,5,DL,2995,ATL,HOU,31.0,24.0,0.0,,0.0,24.0,0.0,0.0,0.0,True
8/8/2023 12:00:00 AM,8,2,OO,4087,RDM,SEA,137.0,128.0,0.0,,128.0,0.0,0.0,0.0,0.0,True
7/2/2023 12:00:00 AM,7,7,DL,1352,ROA,ATL,22.0,22.0,0.0,,0.0,0.0,22.0,0.0,0.0,True
10/22/2023 12:00:00 AM,10,7,MQ,3690,MSY,AUS,38.0,41.0,0.0,,0.0,3.0,30.0,0.0,8.0,True
10/29/2023 12:00:00 AM,10,7,UA,634,MSP,DEN,88.0,88.0,0.0,,0.0,0.0,0.0,0.0,88.0,True
7/24/2023 12:00:00 AM,7,1,AA,2111,CLT,MCO,184.0,218.0,0.0,,0.0,34.0,0.0,0.0,184.0,True
7/28/2023 12:00:00 AM,7,5,AS,645,PHX,SEA,24.0,18.0,0.0,,0.0,0.0,18.0,0.0,0.0,True
3/15/2023 12:00:00 AM,3,3,AS,1150,BUR,SEA,188.0,179.0,0.0,,0.0,0.0,0.0,0.0,179.0,True
2/16/2023 12:00:00 AM,2,4,UA,2664,ORD,SFO,62.0,56.0,0.0,,0.0,0.0,48.0,0.0,8.0,True
8/9/2023 12:00:00 AM,8,3,WN,579,DAL,COS,42.0,33.0,0.0,,0.0,0.0,0.0,0.0,33.0,True
6/26/2023 12:00:00 AM,6,1,UA,2313,SFO,IAH,365.0,353.0,0.0,,0.0,0.0,5.0,0.0,348.0,True
11/6/2023 12:00:00 AM,11,1,AA,2149,CLT,MCO,29.0,29.0,0.0,,0.0,20.0,0.0,0.0,9.0,True
1/8/2023 12:00:00 AM,1,7,NK,1049,MCO,SJU,30.0,23.0,0.0,,0.0,1.0,7.0,0.0,15.0,True
6/26/2023 12:00:00 AM,6,1,DL,2094,JFK,MSY,171.0,191.0,0.0,,0.0,20.0,58.0,0.0,113.0,True
5/3/2023 12:00:00 AM,5,3,WN,2076,PIT,STL,20.0,22.0,0.0,,0.0,2.0,0.0,0.0,20.0,True
7/13/2023 12:00:00 AM,7,4,UA,2380,SFO,HNL,-2.0,19.0,0.0,,0.0,19.0,0.0,0.0,0.0,True
4/19/2023 12:00:00 AM,4,3,WN,2591,HDN,DEN,247.0,268.0,0.0,,127.0,21.0,0.0,0.0,120.0,True
8/10/2023 12:00:00 AM,8,4,AA,1855,LAS,ORD,31.0,63.0,0.0,,0.0,32.0,0.0,0.0,31.0,True
12/24/2023 12:00:00 AM,12,7,B6,726,BWI,BOS,52.0,34.0,0.0,,0.0,0.0,0.0,0.0,34.0,True
5/10/2023 12:00:00 AM,5,3,YX,5594,DCA,OMA,55.0,38.0,0.0,,0.0,0.0,38.0,0.0,0.0,True
2/10/2023 12:00:00 AM,2,5,AA,2652,JFK,SFO,32.0,29.0,0.0,,0.0,0.0,23.0,0.0,6.0,True
4/17/2023 12:00:00 AM,4,1,UA,1594,IAH,BNA,167.0,156.0,0.0,,0.0,0.0,126.0,0.0,30.0,True
8/6/2023 12:00:00 AM,8,7,NK,1100,PNS,MCO,67.0,69.0,0.0,,67.0,2.0,0.0,0.0,0.0,True
5/20/2023 12:00:00 AM,5,6,WN,2210,SJC,SAN,62.0,48.0,0.0,,0.0,0.0,48.0,0.0,0.0,True
5/11/2023 12:00:00 AM,5,4,AA,2965,LAX,CLT,35.0,60.0,0.0,,0.0,25.0,15.0,0.0,20.0,True
6/11/2023 12:00:00 AM,6,7,UA,1584,DEN,SFO,262.0,246.0,0.0,,0.0,0.0,47.0,0.0,199.0,True
9/4/2023 12:00:00 AM,9,1,B6,310,JAX,BOS,26.0,38.0,0.0,,0.0,12.0,0.0,0.0,26.0,True
8/19/2023 12:00:00 AM,8,6,WN,4237,BWI,FLL,137.0,130.0,0.0,,0.0,0.0,130.0,0.0,0.0,True
4/2/2023 12:00:00 AM,4,7,AA,1614,SFO,DFW,123.0,144.0,0.0,,96.0,21.0,0.0,0.0,27.0,True
6/28/2023 12:00:00 AM,6,3,OH,5666,ECP,CLT,19.0,46.0,0.0,,0.0,27.0,2.0,0.0,17.0,True
6/30/2023 12:00:00 AM,6,5,UA,2100,DEN,SBA,313.0,296.0,0.0,,0.0,0.0,16.0,0.0,280.0,True
3/9/2023 12:00:00 AM,3,4,HA,384,LIH,HNL,37.0,48.0,0.0,,11.0,0.0,2.0,0.0,35.0,True
1/20/2023 12:00:00 AM,1,5,AA,1475,MIA,DCA,49.0,41.0,0.0,,0.0,0.0,0.0,0.0,41.0,True
6/1/2023 12:00:00 AM,6,4,NK,2866,MCO,MEM,157.0,144.0,0.0,,0.0,0.0,144.0,0.0,0.0,True
7/23/2023 12:00:00 AM,7,7,DL,867,LAX,MCO,67.0,51.0,0.0,,0.0,51.0,0.0,0.0,0.0,True
5/18/2023 12:00:00 AM,5,4,MQ,3822,SGF,DFW,-2.0,18.0,0.0,,0.0,18.0,0.0,0.0,0.0,True
11/19/2023 12:00:00 AM,11,7,OO,4765,DEN,SBP,112.0,101.0,0.0,,0.0,0.0,101.0,0.0,0.0,True
10/27/2023 12:00:00 AM,10,5,OO,5245,LIT,DEN,232.0,213.0,0.0,,0.0,0.0,0.0,0.0,213.0,True
9/22/2023 12:00:00 AM,9,5,B6,2754,DCA,BOS,10.0,38.0,0.0,,0.0,38.0,0.0,0.0,0.0,True
2/3/2023 12:00:00 AM,2,5,AA,1273,DFW,RSW,37.0,47.0,0.0,,37.0,10.0,0.0,0.0,0.0,True
12/26/2023 12:00:00 AM,12,2,NK,2020,FLL,LGA,55.0,43.0,0.0,,0.0,32.0,11.0,0.0,0.0,True
